"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"24"	"ENSDARG00000075108"	"tmco3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071030-1\")"	"tmco3"	"transmembrane and coiled-coil domains 3 [Source:ZFIN;Acc:ZDB-GENE-071030-1]"	"ZFIN"
"25"	"ENSDARG00000016304"	"tfdp1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1746\")"	"tfdp1b"	"transcription factor Dp-1, b [Source:ZFIN;Acc:ZDB-GENE-040426-1746]"	"ZFIN"
"26"	"ENSDARG00000058803"	"grk1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050823-1\")"	"grk1a"	"G protein-coupled receptor kinase 1 a [Source:ZFIN;Acc:ZDB-GENE-050823-1]"	"ZFIN"
"27"	"ENSDARG00000063385"	"cenpe"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-860\")"	"cenpe"	"centromere protein E [Source:ZFIN;Acc:ZDB-GENE-060929-860]"	"ZFIN"
"28"	"ENSDARG00000007804"	"gas6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7773\")"	"gas6"	"growth arrest-specific 6 [Source:ZFIN;Acc:ZDB-GENE-030131-7773]"	"ZFIN"
"29"	"ENSDARG00000068261"	"pros1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-657\")"	"pros1"	"protein S [Source:ZFIN;Acc:ZDB-GENE-061013-657]"	"ZFIN"
"30"	"ENSDARG00000063371"	"rasa3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-21\")"	"rasa3"	"RAS p21 protein activator 3 [Source:ZFIN;Acc:ZDB-GENE-090313-21]"	"ZFIN"
"31"	"ENSDARG00000078751"	"tpp2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-290\")"	"tpp2"	"tripeptidyl peptidase 2 [Source:ZFIN;Acc:ZDB-GENE-121214-290]"	"ZFIN"
"33"	"ENSDARG00000016343"	"zgc:92518"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-53\")"	"zgc:92518"	"zgc:92518 [Source:ZFIN;Acc:ZDB-GENE-040718-53]"	"ZFIN"
"34"	"ENSDARG00000023678"	"ercc5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050327-28\")"	"ercc5"	"excision repair cross-complementation group 5 [Source:ZFIN;Acc:ZDB-GENE-050327-28]"	"ZFIN"
"35"	"ENSDARG00000011299"	"blzf1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010724-1\")"	"blzf1"	"basic leucine zipper nuclear factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-1]"	"ZFIN"
"36"	"ENSDARG00000041575"	"trmt10c"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-12\")"	"trmt10c"	"tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:ZFIN;Acc:ZDB-GENE-041114-12]"	"ZFIN"
"37"	"ENSDARG00000058962"	"txnl4b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051030-63\")"	"txnl4b"	"thioredoxin-like 4B [Source:ZFIN;Acc:ZDB-GENE-051030-63]"	"ZFIN"
"38"	"ENSDARG00000089799"	"si:ch73-41e3.7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-163\")"	"si:ch73-41e3.7"	"si:ch73-41e3.7 [Source:ZFIN;Acc:ZDB-GENE-090313-163]"	"ZFIN"
"39"	"ENSDARG00000075325"	"mrpl16"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041122-1\")"	"mrpl16"	"mitochondrial ribosomal protein L16 [Source:ZFIN;Acc:ZDB-GENE-041122-1]"	"ZFIN"
"40"	"ENSDARG00000041570"	"mrpl39"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6520\")"	"mrpl39"	"mitochondrial ribosomal protein L39 [Source:ZFIN;Acc:ZDB-GENE-030131-6520]"	"ZFIN"
"41"	"ENSDARG00000113329"	"CU571081.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU571081.1"	"C3a anaphylatoxin chemotactic receptor-like [Source:NCBI gene;Acc:101885604]"	"Clone-based (Ensembl) gene"
"43"	"ENSDARG00000058996"	"jam2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031204-3\")"	"jam2a"	"junctional adhesion molecule 2a [Source:ZFIN;Acc:ZDB-GENE-031204-3]"	"ZFIN"
"44"	"ENSDARG00000014313"	"atp5pf"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2534\")"	"atp5pf"	"ATP synthase peripheral stalk subunit F6 [Source:ZFIN;Acc:ZDB-GENE-040426-2534]"	"ZFIN"
"45"	"ENSDARG00000104279"	"appa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000616-13\")"	"appa"	"amyloid beta (A4) precursor protein a [Source:ZFIN;Acc:ZDB-GENE-000616-13]"	"ZFIN"
"46"	"ENSDARG00000103783"	"cyyr1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2356\")"	"cyyr1"	"cysteine/tyrosine-rich 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2356]"	"ZFIN"
"47"	"ENSDARG00000103519"	"adamts1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070814-1\")"	"adamts1"	"ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Source:ZFIN;Acc:ZDB-GENE-070814-1]"	"ZFIN"
"48"	"ENSDARG00000100307"	"adamts5"	"=HYPERLINK(\"https://zfin.org/\")"	"adamts5"	"ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:NCBI gene;Acc:565053]"	"NCBI gene"
"49"	"ENSDARG00000101089"	"gart"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000616-14\")"	"gart"	"phosphoribosylglycinamide formyltransferase [Source:ZFIN;Acc:ZDB-GENE-000616-14]"	"ZFIN"
"50"	"ENSDARG00000115421"	"n6amt1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-206\")"	"n6amt1"	"N-6 adenine-specific DNA methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040718-206]"	"ZFIN"
"54"	"ENSDARG00000117321"	"CZQB01066256.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CZQB01066256.1"	""	"Clone-based (Ensembl) gene"
"55"	"ENSDARG00000087646"	"runx1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000605-1\")"	"runx1"	"RUNX family transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-000605-1]"	"ZFIN"
"57"	"ENSDARG00000067781"	"urp2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110718-3\")"	"urp2"	"urotensin II-related peptide [Source:ZFIN;Acc:ZDB-GENE-110718-3]"	"ZFIN"
"59"	"ENSDARG00000001870"	"atp1a1a.4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-001212-4\")"	"atp1a1a.4"	"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]"	"ZFIN"
"60"	"ENSDARG00000002791"	"atp1a1a.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-001212-1\")"	"atp1a1a.1"	"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-001212-1]"	"ZFIN"
"61"	"ENSDARG00000007739"	"atp1a1a.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-001212-2\")"	"atp1a1a.2"	"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-001212-2]"	"ZFIN"
"62"	"ENSDARG00000039131"	"atp1a1a.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-001212-3\")"	"atp1a1a.3"	"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-001212-3]"	"ZFIN"
"63"	"ENSDARG00000040252"	"atp1a1a.5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020501-1\")"	"atp1a1a.5"	"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 5 [Source:ZFIN;Acc:ZDB-GENE-020501-1]"	"ZFIN"
"64"	"ENSDARG00000089477"	"si:ch211-132g1.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-148\")"	"si:ch211-132g1.3"	"si:ch211-132g1.3 [Source:ZFIN;Acc:ZDB-GENE-090312-148]"	"ZFIN"
"68"	"ENSDARG00000075505"	"si:ch211-132g1.7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-287\")"	"si:ch211-132g1.7"	"si:ch211-132g1.7 [Source:ZFIN;Acc:ZDB-GENE-121214-287]"	"ZFIN"
"70"	"ENSDARG00000033684"	"oxgr1a.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060421-6734\")"	"oxgr1a.1"	"oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060421-6734]"	"ZFIN"
"73"	"ENSDARG00000018460"	"mbnl2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9582\")"	"mbnl2"	"muscleblind-like splicing regulator 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9582]"	"ZFIN"
"74"	"ENSDARG00000040246"	"rap2ab"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-116\")"	"rap2ab"	"RAP2A, member of RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-090312-116]"	"ZFIN"
"75"	"ENSDARG00000040245"	"kpnb3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030424-2\")"	"kpnb3"	"karyopherin (importin) beta 3 [Source:ZFIN;Acc:ZDB-GENE-030424-2]"	"ZFIN"
"77"	"ENSDARG00000074381"	"farp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-163\")"	"farp1"	"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived) [Source:ZFIN;Acc:ZDB-GENE-070424-163]"	"ZFIN"
"78"	"ENSDARG00000095179"	"si:ch211-235f1.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091204-440\")"	"si:ch211-235f1.3"	"si:ch211-235f1.3 [Source:ZFIN;Acc:ZDB-GENE-091204-440]"	"ZFIN"
"80"	"ENSDARG00000070579"	"ggact.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-26\")"	"ggact.3"	"gamma-glutamylamine cyclotransferase, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-070424-26]"	"ZFIN"
"81"	"ENSDARG00000038248"	"ggact.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-8\")"	"ggact.2"	"gamma-glutamylamine cyclotransferase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040912-8]"	"ZFIN"
"82"	"ENSDARG00000070581"	"ggact.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061103-94\")"	"ggact.1"	"gamma-glutamylamine cyclotransferase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-061103-94]"	"ZFIN"
"84"	"ENSDARG00000103156"	"gpc6a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071004-15\")"	"gpc6a"	"glypican 6a [Source:ZFIN;Acc:ZDB-GENE-071004-15]"	"ZFIN"
"85"	"ENSDARG00000103647"	"gpc5a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-140106-260\")"	"gpc5a"	"glypican 5a [Source:ZFIN;Acc:ZDB-GENE-140106-260]"	"ZFIN"
"92"	"ENSDARG00000117575"	"CABZ01113467.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01113467.1"	""	"Clone-based (Ensembl) gene"
"94"	"ENSDARG00000098769"	"slitrk6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2816\")"	"slitrk6"	"SLIT and NTRK-like family, member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-2816]"	"ZFIN"
"99"	"ENSDARG00000078308"	"spry2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7038\")"	"spry2"	"sprouty RTK signaling antagonist 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7038]"	"ZFIN"
"100"	"ENSDARG00000033928"	"ndfip2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2662\")"	"ndfip2"	"Nedd4 family interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2662]"	"ZFIN"
"101"	"ENSDARG00000031164"	"tuba8l2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1646\")"	"tuba8l2"	"tubulin, alpha 8 like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1646]"	"ZFIN"
"102"	"ENSDARG00000037777"	"stk16"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-102\")"	"stk16"	"serine/threonine kinase 16 [Source:ZFIN;Acc:ZDB-GENE-050417-102]"	"ZFIN"
"103"	"ENSDARG00000016706"	"atic"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-011212-4\")"	"atic"	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:ZFIN;Acc:ZDB-GENE-011212-4]"	"ZFIN"
"104"	"ENSDARG00000030350"	"mnx2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040415-2\")"	"mnx2b"	"motor neuron and pancreas homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-040415-2]"	"ZFIN"
"105"	"ENSDARG00000006526"	"fn1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6545\")"	"fn1b"	"fibronectin 1b [Source:ZFIN;Acc:ZDB-GENE-030131-6545]"	"ZFIN"
"107"	"ENSDARG00000096546"	"nrp2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040611-2\")"	"nrp2a"	"neuropilin 2a [Source:ZFIN;Acc:ZDB-GENE-040611-2]"	"ZFIN"
"108"	"ENSDARG00000092671"	"pard3ba"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080225-12\")"	"pard3ba"	"par-3 family cell polarity regulator beta a [Source:ZFIN;Acc:ZDB-GENE-080225-12]"	"ZFIN"
"109"	"ENSDARG00000113935"	"pard3ba"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080225-12\")"	"pard3ba*1"	"par-3 family cell polarity regulator beta a [Source:ZFIN;Acc:ZDB-GENE-080225-12]"	"ZFIN"
"110"	"ENSDARG00000063297"	"abcb6a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050517-9\")"	"abcb6a"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6a [Source:ZFIN;Acc:ZDB-GENE-050517-9]"	"ZFIN"
"111"	"ENSDARG00000027078"	"cnppd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6808\")"	"cnppd1"	"cyclin Pas1/PHO80 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6808]"	"ZFIN"
"112"	"ENSDARG00000017537"	"prkag3a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091204-419\")"	"prkag3a"	"protein kinase, AMP-activated, gamma 3a non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-091204-419]"	"ZFIN"
"113"	"ENSDARG00000063270"	"retreg2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061215-128\")"	"retreg2"	"reticulophagy regulator family member 2 [Source:ZFIN;Acc:ZDB-GENE-061215-128]"	"ZFIN"
"114"	"ENSDARG00000018008"	"mdh1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-384\")"	"mdh1b"	"malate dehydrogenase 1B, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-060929-384]"	"ZFIN"
"115"	"ENSDARG00000074031"	"fastkd2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-7\")"	"fastkd2"	"FAST kinase domains 2 [Source:ZFIN;Acc:ZDB-GENE-090313-7]"	"ZFIN"
"116"	"ENSDARG00000043247"	"gtf3c3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040914-80\")"	"gtf3c3"	"general transcription factor IIIC, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-040914-80]"	"ZFIN"
"117"	"ENSDARG00000113848"	"LO018629.1"	"=HYPERLINK(\"https://zfin.org/\")"	"LO018629.1"	""	"Clone-based (Ensembl) gene"
"118"	"ENSDARG00000063253"	"hecw2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-101001-3\")"	"hecw2b"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2b [Source:ZFIN;Acc:ZDB-GENE-101001-3]"	"ZFIN"
"119"	"ENSDARG00000073857"	"klf7a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-276\")"	"klf7a"	"Kruppel-like factor 7a [Source:ZFIN;Acc:ZDB-GENE-050522-276]"	"ZFIN"
"121"	"ENSDARG00000070558"	"si:ch211-93g23.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-164\")"	"si:ch211-93g23.2"	"si:ch211-93g23.2 [Source:ZFIN;Acc:ZDB-GENE-090312-164]"	"ZFIN"
"122"	"ENSDARG00000025754"	"ube2f"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2557\")"	"ube2f"	"ubiquitin-conjugating enzyme E2F (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-2557]"	"ZFIN"
"131"	"ENSDARG00000013741"	"lancl1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040924-1\")"	"lancl1"	"LanC antibiotic synthetase component C-like 1 (bacterial) [Source:ZFIN;Acc:ZDB-GENE-040924-1]"	"ZFIN"
"132"	"ENSDARG00000017441"	"mylz3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000322-6\")"	"mylz3"	"myosin, light polypeptide 3, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-6]"	"ZFIN"
"133"	"ENSDARG00000037713"	"pcnp"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-130\")"	"pcnp"	"PEST proteolytic signal containing nuclear protein [Source:ZFIN;Acc:ZDB-GENE-041010-130]"	"ZFIN"
"134"	"ENSDARG00000021688"	"mxa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030721-5\")"	"mxa"	"myxovirus (influenza) resistance A [Source:ZFIN;Acc:ZDB-GENE-030721-5]"	"ZFIN"
"135"	"ENSDARG00000004953"	"mxb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030721-6\")"	"mxb"	"myxovirus (influenza) resistance B [Source:ZFIN;Acc:ZDB-GENE-030721-6]"	"ZFIN"
"136"	"ENSDARG00000074050"	"efnb2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010618-1\")"	"efnb2b"	"ephrin-B2b [Source:ZFIN;Acc:ZDB-GENE-010618-1]"	"ZFIN"
"137"	"ENSDARG00000018319"	"arglu1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-736\")"	"arglu1b"	"arginine and glutamate rich 1b [Source:ZFIN;Acc:ZDB-GENE-040426-736]"	"ZFIN"
"138"	"ENSDARG00000098730"	"en1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-6\")"	"en1b"	"engrailed homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-980526-6]"	"ZFIN"
"140"	"ENSDARG00000117359"	"BX908756.2"	"=HYPERLINK(\"https://zfin.org/\")"	"BX908756.2"	""	"Clone-based (Ensembl) gene"
"142"	"ENSDARG00000079779"	"radil"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071206-1\")"	"radil"	"Ras association and DIL domains [Source:ZFIN;Acc:ZDB-GENE-071206-1]"	"ZFIN"
"150"	"ENSDARG00000099359"	"CR855320.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CR855320.1"	""	"Clone-based (Ensembl) gene"
"151"	"ENSDARG00000092361"	"si:dkey-79f11.7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-338\")"	"si:dkey-79f11.7"	"si:dkey-79f11.7 [Source:ZFIN;Acc:ZDB-GENE-090313-338]"	"ZFIN"
"156"	"ENSDARG00000100166"	"si:dkeyp-9d4.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110914-175\")"	"si:dkeyp-9d4.3"	"si:dkeyp-9d4.3 [Source:ZFIN;Acc:ZDB-GENE-110914-175]"	"ZFIN"
"157"	"ENSDARG00000074212"	"SLC5A10"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-88\")"	"SLC5A10"	"solute carrier family 5 member 10 [Source:HGNC Symbol;Acc:HGNC:23155]"	"HGNC Symbol"
"158"	"ENSDARG00000062929"	"FAM83G"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-254\")"	"FAM83G"	"family with sequence similarity 83 member G [Source:HGNC Symbol;Acc:HGNC:32554]"	"HGNC Symbol"
"159"	"ENSDARG00000022668"	"grapb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-4\")"	"grapb"	"GRB2 related adaptor protein b [Source:ZFIN;Acc:ZDB-GENE-050913-4]"	"ZFIN"
"161"	"ENSDARG00000025034"	"syngr3b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070822-6\")"	"syngr3b"	"synaptogyrin 3b [Source:ZFIN;Acc:ZDB-GENE-070822-6]"	"ZFIN"
"163"	"ENSDARG00000096583"	"AL928835.1"	"=HYPERLINK(\"https://zfin.org/\")"	"AL928835.1"	""	"Clone-based (Ensembl) gene"
"164"	"ENSDARG00000063003"	"alkbh5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-602\")"	"alkbh5"	"alkB homolog 5, RNA demethylase [Source:ZFIN;Acc:ZDB-GENE-061013-602]"	"ZFIN"
"165"	"ENSDARG00000002377"	"mief2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-864\")"	"mief2"	"mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]"	"ZFIN"
"166"	"ENSDARG00000015803"	"smcr8b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061122-1\")"	"smcr8b"	"Smith-Magenis syndrome chromosome region, candidate 8b [Source:ZFIN;Acc:ZDB-GENE-061122-1]"	"ZFIN"
"167"	"ENSDARG00000037739"	"zgc:112980"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050306-1\")"	"zgc:112980"	"zgc:112980 [Source:ZFIN;Acc:ZDB-GENE-050306-1]"	"ZFIN"
"168"	"ENSDARG00000076176"	"ptcd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6146\")"	"ptcd1"	"pentatricopeptide repeat domain 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6146]"	"ZFIN"
"170"	"ENSDARG00000113858"	"AL928650.4"	"=HYPERLINK(\"https://zfin.org/\")"	"AL928650.4"	""	"Clone-based (Ensembl) gene"
