gene_id	gene_name	ZFIN.ID	Description
ENSDARG00000105734	si:cabz01081474.1	https://zfin.org/	
ENSDARG00000096967	si:dkey-207j16.10	https://zfin.org/ZDB-GENE-131127-172	si:dkey-207j16.10 [Source:ZFIN;Acc:ZDB-GENE-131127-172]
ENSDARG00000033296	gpr37b	https://zfin.org/ZDB-GENE-041210-264	G protein-coupled receptor 37b [Source:ZFIN;Acc:ZDB-GENE-041210-264]
ENSDARG00000068194	klf9	https://zfin.org/ZDB-GENE-060526-244	Kruppel-like factor 9 [Source:ZFIN;Acc:ZDB-GENE-060526-244]
ENSDARG00000067825	si:ch1073-459b3.2	https://zfin.org/ZDB-GENE-120215-128	si:ch1073-459b3.2 [Source:ZFIN;Acc:ZDB-GENE-120215-128]
ENSDARG00000012051	mettl21a	https://zfin.org/ZDB-GENE-050320-145	methyltransferase like 21A [Source:ZFIN;Acc:ZDB-GENE-050320-145]
ENSDARG00000053127	helb	https://zfin.org/ZDB-GENE-030729-16	helicase (DNA) B [Source:ZFIN;Acc:ZDB-GENE-030729-16]
ENSDARG00000079651	si:ch1073-174d20.2	https://zfin.org/ZDB-GENE-121214-51	si:ch1073-174d20.2 [Source:ZFIN;Acc:ZDB-GENE-121214-51]
ENSDARG00000045893	kctd15a	https://zfin.org/ZDB-GENE-040801-34	potassium channel tetramerization domain containing 15a [Source:ZFIN;Acc:ZDB-GENE-041010-105]
ENSDARG00000054606	mrpl1	https://zfin.org/ZDB-GENE-060526-311	mitochondrial ribosomal protein L1 [Source:ZFIN;Acc:ZDB-GENE-060526-311]
ENSDARG00000087197	ros1	https://zfin.org/ZDB-GENE-020506-1	"c-ros oncogene 1 , receptor tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-020506-1]"
ENSDARG00000039066	klhl31	https://zfin.org/ZDB-GENE-030131-2052	kelch-like family member 31 [Source:ZFIN;Acc:ZDB-GENE-030131-2052]
ENSDARG00000058410	acbd5b	https://zfin.org/ZDB-GENE-070705-18	acyl-CoA binding domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-070705-18]
ENSDARG00000055443	zcchc7	https://zfin.org/ZDB-GENE-030102-2	"zinc finger, CCHC domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-030102-2]"
ENSDARG00000071233	zgc:158254	https://zfin.org/ZDB-GENE-070112-2222	zgc:158254 [Source:ZFIN;Acc:ZDB-GENE-070112-2222]
ENSDARG00000092091	si:dkey-286h2.7	https://zfin.org/ZDB-GENE-030131-4664	si:dkey-286h2.7 [Source:ZFIN;Acc:ZDB-GENE-030131-4664]
ENSDARG00000040401	slc25a20	https://zfin.org/ZDB-GENE-040426-1869	"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 [Source:ZFIN;Acc:ZDB-GENE-040426-1869]"
ENSDARG00000097756	si:dkey-259g19.1	https://zfin.org/ZDB-GENE-131121-56	si:dkey-259g19.1 [Source:ZFIN;Acc:ZDB-GENE-131121-56]
ENSDARG00000036818	hyal3	https://zfin.org/ZDB-GENE-081104-366	hyaluronoglucosaminidase 3 [Source:ZFIN;Acc:ZDB-GENE-081104-366]
ENSDARG00000091950	si:dkeyp-4c7.3	https://zfin.org/ZDB-GENE-090313-388	si:dkeyp-4c7.3 [Source:ZFIN;Acc:ZDB-GENE-090313-388]
ENSDARG00000016545	CRAT (1 of many)	https://zfin.org/ZDB-GENE-061103-289	zgc:154046 [Source:ZFIN;Acc:ZDB-GENE-061103-289]
ENSDARG00000029881	kcnh2a	https://zfin.org/ZDB-GENE-070912-699	"potassium voltage-gated channel, subfamily H (eag-related), member 2a [Source:ZFIN;Acc:ZDB-GENE-070912-699]"
ENSDARG00000102712	si:ch211-71k24.7	https://zfin.org/ZDB-GENE-141216-67	si:ch211-71k24.7 [Source:ZFIN;Acc:ZDB-GENE-141216-67]
ENSDARG00000056665	nsun2	https://zfin.org/ZDB-GENE-030131-4017	"NOP2/Sun RNA methyltransferase family, member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-4017]"
ENSDARG00000025168	mpp7b	https://zfin.org/ZDB-GENE-141212-293	"membrane protein, palmitoylated 7b (MAGUK p55 subfamily member 7) [Source:ZFIN;Acc:ZDB-GENE-141212-293]"
ENSDARG00000031768	roraa	https://zfin.org/ZDB-GENE-060306-2	"RAR-related orphan receptor A, paralog a [Source:ZFIN;Acc:ZDB-GENE-060306-2]"
ENSDARG00000094862	v2ra20	https://zfin.org/ZDB-GENE-050419-220	"vomeronasal 2 receptor, a20 [Source:ZFIN;Acc:ZDB-GENE-050419-220]"
ENSDARG00000076959	si:ch211-38m6.6	https://zfin.org/ZDB-GENE-070705-179	si:ch211-38m6.6 [Source:ZFIN;Acc:ZDB-GENE-070705-179]
ENSDARG00000009299	dusp8a	https://zfin.org/ZDB-GENE-040426-1842	dual specificity phosphatase 8a [Source:ZFIN;Acc:ZDB-GENE-040426-1842]
ENSDARG00000057074	rpgrb	https://zfin.org/ZDB-GENE-081015-2	retinitis pigmentosa GTPase regulator b [Source:ZFIN;Acc:ZDB-GENE-081015-2]
ENSDARG00000102179	si:dkey-161l11.40	https://zfin.org/ZDB-GENE-141212-157	si:dkey-161l11.40 [Source:ZFIN;Acc:ZDB-GENE-141212-157]
ENSDARG00000069313	oxa1l	https://zfin.org/ZDB-GENE-071004-49	oxidase (cytochrome c) assembly 1-like [Source:ZFIN;Acc:ZDB-GENE-071004-49]
ENSDARG00000034105	mtus1b	https://zfin.org/ZDB-GENE-070619-5	microtubule associated tumor suppressor 1b [Source:ZFIN;Acc:ZDB-GENE-070619-5]
ENSDARG00000023168	v2rx4	https://zfin.org/ZDB-GENE-050419-263	"vomeronasal 2 receptor, x4 [Source:ZFIN;Acc:ZDB-GENE-050419-263]"
ENSDARG00000100706	si:dkey-161l11.39	https://zfin.org/ZDB-GENE-141212-205	si:dkey-161l11.39 [Source:ZFIN;Acc:ZDB-GENE-141212-205]
ENSDARG00000098685	si:dkey-161l11.38	https://zfin.org/ZDB-GENE-141212-114	si:dkey-161l11.38 [Source:ZFIN;Acc:ZDB-GENE-141212-114]
ENSDARG00000093197	si:dkeyp-99c4.5	https://zfin.org/ZDB-GENE-070912-698	si:dkeyp-99c4.5 [Source:ZFIN;Acc:ZDB-GENE-070912-698]
ENSDARG00000003904	sycp1	https://zfin.org/ZDB-GENE-040910-6	synaptonemal complex protein 1 [Source:ZFIN;Acc:ZDB-GENE-040910-6]
ENSDARG00000035909	mfsd2ab	https://zfin.org/ZDB-GENE-040801-89	major facilitator superfamily domain containing 2ab [Source:ZFIN;Acc:ZDB-GENE-040801-89]
ENSDARG00000040033	trmt11	https://zfin.org/ZDB-GENE-040426-953	tRNA methyltransferase 11 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-953]
ENSDARG00000096665	si:ch211-202n12.2	https://zfin.org/ZDB-GENE-121214-12	si:ch211-202n12.2 [Source:ZFIN;Acc:ZDB-GENE-121214-12]
ENSDARG00000098374	FLNB	https://zfin.org/	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]
ENSDARG00000036371	acta1a	https://zfin.org/ZDB-GENE-050417-267	"actin, alpha 1a, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-050417-267]"
ENSDARG00000035565	atp6v0a2b	https://zfin.org/ZDB-GENE-060526-4	"ATPase, H+ transporting, lysosomal V0 subunit a2b [Source:ZFIN;Acc:ZDB-GENE-060526-4]"
ENSDARG00000062934	gpr12	https://zfin.org/ZDB-GENE-100209-3	G protein-coupled receptor 12 [Source:ZFIN;Acc:ZDB-GENE-100209-3]
ENSDARG00000096571	si:ch211-281p14.2	https://zfin.org/ZDB-GENE-121214-273	si:ch211-281p14.2 [Source:ZFIN;Acc:ZDB-GENE-121214-273]
ENSDARG00000093710	si:dkey-40m6.15	https://zfin.org/ZDB-GENE-100922-97	si:dkey-40m6.15 [Source:ZFIN;Acc:ZDB-GENE-100922-97]
ENSDARG00000031757	tmc4	https://zfin.org/ZDB-GENE-030131-7489	transmembrane channel-like 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7489]
ENSDARG00000089706	ANPEP (1 of many)	https://zfin.org/ZDB-GENE-141215-4	si:ch211-276a23.5 [Source:ZFIN;Acc:ZDB-GENE-141215-4]
ENSDARG00000020072	thbs4b	https://zfin.org/ZDB-GENE-020708-4	thrombospondin 4b [Source:ZFIN;Acc:ZDB-GENE-020708-4]
ENSDARG00000040162	zgc:165461	https://zfin.org/ZDB-GENE-050208-135	zgc:165461 [Source:ZFIN;Acc:ZDB-GENE-050208-135]
ENSDARG00000063150	nrxn2b	https://zfin.org/ZDB-GENE-070206-7	neurexin 2b [Source:ZFIN;Acc:ZDB-GENE-070206-7]
ENSDARG00000004594	znf800a	https://zfin.org/ZDB-GENE-041008-151	zinc finger protein 800a [Source:ZFIN;Acc:ZDB-GENE-041008-151]
ENSDARG00000076017	tmem69	https://zfin.org/ZDB-GENE-081022-98	transmembrane protein 69 [Source:ZFIN;Acc:ZDB-GENE-081022-98]
ENSDARG00000089486	cplx3b	https://zfin.org/ZDB-GENE-091204-403	complexin 3b [Source:ZFIN;Acc:ZDB-GENE-091204-403]
ENSDARG00000070833	lin52	https://zfin.org/ZDB-GENE-061110-82	lin-52 DREAM MuvB core complex component [Source:ZFIN;Acc:ZDB-GENE-061110-82]
ENSDARG00000031971	kdelc1	https://zfin.org/ZDB-GENE-040426-878	KDEL (Lys-Asp-Glu-Leu) containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-878]
ENSDARG00000074760	ttc7a	https://zfin.org/ZDB-GENE-010319-27	tetratricopeptide repeat domain 7A [Source:ZFIN;Acc:ZDB-GENE-010319-27]
ENSDARG00000086416	med11	https://zfin.org/ZDB-GENE-091207-2	mediator complex subunit 11 [Source:ZFIN;Acc:ZDB-GENE-091207-2]
ENSDARG00000103845	zgc:55733	https://zfin.org/ZDB-GENE-040426-791	zgc:55733 [Source:ZFIN;Acc:ZDB-GENE-040426-791]
ENSDARG00000020741	fga	https://zfin.org/ZDB-GENE-031010-21	fibrinogen alpha chain [Source:ZFIN;Acc:ZDB-GENE-031010-21]
ENSDARG00000096627	si:ch211-198k9.12	https://zfin.org/ZDB-GENE-121214-274	si:ch211-198k9.12 [Source:ZFIN;Acc:ZDB-GENE-121214-274]
ENSDARG00000070358	smim12	https://zfin.org/ZDB-GENE-050320-101	small integral membrane protein 12 [Source:ZFIN;Acc:ZDB-GENE-050320-101]
ENSDARG00000097622	si:dkey-42p14.6	https://zfin.org/ZDB-GENE-131127-558	si:dkey-42p14.6 [Source:ZFIN;Acc:ZDB-GENE-131127-558]
ENSDARG00000105474	si:cabz01030862.2	https://zfin.org/ZDB-GENE-160114-36	si:cabz01030862.2 [Source:ZFIN;Acc:ZDB-GENE-160114-36]
ENSDARG00000039215	arrb2a	https://zfin.org/ZDB-GENE-030131-29	"arrestin, beta 2a [Source:ZFIN;Acc:ZDB-GENE-030131-29]"
ENSDARG00000092825	EFCAB10	https://zfin.org/ZDB-GENE-041111-13	si:dkey-42p14.3 [Source:ZFIN;Acc:ZDB-GENE-041111-13]
ENSDARG00000095016	si:dkey-246k9.4	https://zfin.org/ZDB-GENE-070424-231	si:dkey-246k9.4 [Source:ZFIN;Acc:ZDB-GENE-070424-231]
ENSDARG00000098837	tgm5l	https://zfin.org/ZDB-GENE-110411-176	"transglutaminase 5, like [Source:ZFIN;Acc:ZDB-GENE-110411-176]"
ENSDARG00000077648	FNIP2	https://zfin.org/ZDB-GENE-090312-31	si:ch211-42i9.8 [Source:ZFIN;Acc:ZDB-GENE-090312-31]
ENSDARG00000076312	myot	https://zfin.org/ZDB-GENE-110411-129	myotilin [Source:ZFIN;Acc:ZDB-GENE-110411-129]
ENSDARG00000096311	si:dkey-211g8.8	https://zfin.org/ZDB-GENE-120215-226	si:dkey-211g8.8 [Source:ZFIN;Acc:ZDB-GENE-120215-226]
ENSDARG00000057010	si:dkey-154b15.1	https://zfin.org/ZDB-GENE-060503-52	si:dkey-154b15.1 [Source:ZFIN;Acc:ZDB-GENE-060503-52]
ENSDARG00000045878	nudt4b	https://zfin.org/ZDB-GENE-040912-79	nudix (nucleoside diphosphate linked moiety X)-type motif 4b [Source:ZFIN;Acc:ZDB-GENE-040912-79]
ENSDARG00000036155	gla	https://zfin.org/ZDB-GENE-041010-207	"galactosidase, alpha [Source:ZFIN;Acc:ZDB-GENE-041010-207]"
ENSDARG00000096580	si:ch211-42i9.10	https://zfin.org/ZDB-GENE-121214-180	si:ch211-42i9.10 [Source:ZFIN;Acc:ZDB-GENE-121214-180]
ENSDARG00000032552	5-Mar	https://zfin.org/ZDB-GENE-070424-47	membrane-associated ring finger (C3HC4) 5 [Source:ZFIN;Acc:ZDB-GENE-070424-47]
ENSDARG00000079307	si:dkey-205h13.1	https://zfin.org/ZDB-GENE-090313-227	si:dkey-205h13.1 [Source:ZFIN;Acc:ZDB-GENE-090313-227]
ENSDARG00000101574	pimr97	https://zfin.org/ZDB-GENE-141211-69	"Pim proto-oncogene, serine/threonine kinase, related 97 [Source:ZFIN;Acc:ZDB-GENE-141211-69]"
ENSDARG00000070357	cx39.4	https://zfin.org/ZDB-GENE-050616-6	connexin 39.4 [Source:ZFIN;Acc:ZDB-GENE-050616-6]
ENSDARG00000058088	aifm1	https://zfin.org/ZDB-GENE-030826-11	"apoptosis-inducing factor, mitochondrion-associated 1 [Source:ZFIN;Acc:ZDB-GENE-030826-11]"
ENSDARG00000094988	si:dkeyp-13a3.6	https://zfin.org/ZDB-GENE-070912-637	si:dkeyp-13a3.6 [Source:ZFIN;Acc:ZDB-GENE-070912-637]
ENSDARG00000091521	MAP3K11	https://zfin.org/ZDB-GENE-160728-33	si:cabz01078036.1 [Source:ZFIN;Acc:ZDB-GENE-160728-33]
ENSDARG00000096607	si:ch211-1f22.17	https://zfin.org/ZDB-GENE-121214-303	si:ch211-1f22.17 [Source:ZFIN;Acc:ZDB-GENE-121214-303]
ENSDARG00000099049	rragcb	https://zfin.org/ZDB-GENE-070705-380	Ras-related GTP binding Cb [Source:ZFIN;Acc:ZDB-GENE-070705-380]
ENSDARG00000093845	si:ch211-1f22.12	https://zfin.org/ZDB-GENE-121214-103	si:ch211-1f22.12 [Source:ZFIN;Acc:ZDB-GENE-121214-103]
ENSDARG00000075819	arhgef2	https://zfin.org/ZDB-GENE-030717-1	rho/rac guanine nucleotide exchange factor (GEF) 2 [Source:ZFIN;Acc:ZDB-GENE-030717-1]
ENSDARG00000097845	si:ch211-105j21.9	https://zfin.org/ZDB-GENE-131127-499	si:ch211-105j21.9 [Source:ZFIN;Acc:ZDB-GENE-131127-499]
ENSDARG00000095310	si:dkey-31m5.6	https://zfin.org/ZDB-GENE-070912-518	si:dkey-31m5.6 [Source:ZFIN;Acc:ZDB-GENE-070912-518]
ENSDARG00000071005	ppp1r3ca	https://zfin.org/ZDB-GENE-040718-70	"protein phosphatase 1, regulatory subunit 3Ca [Source:ZFIN;Acc:ZDB-GENE-040718-70]"
ENSDARG00000054649	rac1l	https://zfin.org/ZDB-GENE-060315-6	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) like [Source:ZFIN;Acc:ZDB-GENE-060315-6]"
ENSDARG00000022971	epha6	https://zfin.org/ZDB-GENE-090311-43	eph receptor A6 [Source:ZFIN;Acc:ZDB-GENE-090311-43]
ENSDARG00000094912	si:dkey-270m17.3	https://zfin.org/ZDB-GENE-100512-1	si:dkey-270m17.3 [Source:ZFIN;Acc:ZDB-GENE-100512-1]
ENSDARG00000096549	RAC1 (1 of many)	https://zfin.org/ZDB-GENE-121214-206	si:ch73-94k4.2 [Source:ZFIN;Acc:ZDB-GENE-121214-206]
ENSDARG00000094108	si:ch211-195m20.2	https://zfin.org/ZDB-GENE-081104-159	si:ch211-195m20.2 [Source:ZFIN;Acc:ZDB-GENE-081104-159]
ENSDARG00000101233	unc13c	https://zfin.org/ZDB-GENE-060503-478	unc-13 homolog C (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-060503-478]
ENSDARG00000015356	fcho1	https://zfin.org/ZDB-GENE-120613-1	FCH domain only 1 [Source:ZFIN;Acc:ZDB-GENE-120613-1]
ENSDARG00000059054	pdk2b	https://zfin.org/ZDB-GENE-040426-939	"pyruvate dehydrogenase kinase, isozyme 2b [Source:ZFIN;Acc:ZDB-GENE-040426-939]"
ENSDARG00000070831	rftn1a	https://zfin.org/ZDB-GENE-060503-293	"raftlin, lipid raft linker 1a [Source:ZFIN;Acc:ZDB-GENE-060503-293]"
ENSDARG00000044524	def6b	https://zfin.org/ZDB-GENE-110408-59	differentially expressed in FDCP 6b homolog (mouse) [Source:ZFIN;Acc:ZDB-GENE-110408-59]
ENSDARG00000055459	dlgap3	https://zfin.org/ZDB-GENE-060503-413	"discs, large (Drosophila) homolog-associated protein 3 [Source:ZFIN;Acc:ZDB-GENE-060503-413]"
ENSDARG00000052656	si:ch211-193e13.5	https://zfin.org/ZDB-GENE-081104-158	si:ch211-193e13.5 [Source:ZFIN;Acc:ZDB-GENE-081104-158]
ENSDARG00000016404	ptch1	https://zfin.org/ZDB-GENE-980526-196	patched 1 [Source:ZFIN;Acc:ZDB-GENE-980526-196]
ENSDARG00000094524	si:ch211-1f22.11	https://zfin.org/ZDB-GENE-121214-66	si:ch211-1f22.11 [Source:ZFIN;Acc:ZDB-GENE-121214-66]
ENSDARG00000073883	clstn3	https://zfin.org/ZDB-GENE-100921-73	calsyntenin 3 [Source:ZFIN;Acc:ZDB-GENE-100921-73]
ENSDARG00000094505	si:ch211-218m3.9	https://zfin.org/ZDB-GENE-091116-94	si:ch211-218m3.9 [Source:ZFIN;Acc:ZDB-GENE-091116-94]
ENSDARG00000012563	pdss2	https://zfin.org/ZDB-GENE-040718-43	"prenyl (decaprenyl) diphosphate synthase, subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040718-43]"
ENSDARG00000095273	cox8a	https://zfin.org/ZDB-GENE-030131-9136	cytochrome c oxidase subunit VIIIA (ubiquitous) [Source:ZFIN;Acc:ZDB-GENE-030131-9136]
ENSDARG00000006838	eef1a2	https://zfin.org/ZDB-GENE-040718-64	eukaryotic translation elongation factor 1 alpha 2 [Source:ZFIN;Acc:ZDB-GENE-040718-64]
ENSDARG00000035883	nt5c1aa	https://zfin.org/ZDB-GENE-070705-423	"5'-nucleotidase, cytosolic IAa [Source:ZFIN;Acc:ZDB-GENE-070705-423]"
ENSDARG00000094899	si:ch1073-143l10.2	https://zfin.org/ZDB-GENE-030131-863	si:ch1073-143l10.2 [Source:ZFIN;Acc:ZDB-GENE-030131-863]
ENSDARG00000093047	si:dkey-106m10.5	https://zfin.org/ZDB-GENE-091116-3	si:dkey-106m10.5 [Source:ZFIN;Acc:ZDB-GENE-091116-3]
ENSDARG00000096670	si:ch211-1f22.16	https://zfin.org/ZDB-GENE-121214-59	si:ch211-1f22.16 [Source:ZFIN;Acc:ZDB-GENE-121214-59]
ENSDARG00000027523	trpc7a	https://zfin.org/ZDB-GENE-091113-40	"transient receptor potential cation channel, subfamily C, member 7a [Source:ZFIN;Acc:ZDB-GENE-091113-40]"
ENSDARG00000055523	slc22a6l	https://zfin.org/ZDB-GENE-040426-2249	"solute carrier family 22 (organic anion transporter), member 6, like [Source:ZFIN;Acc:ZDB-GENE-040426-2249]"
ENSDARG00000062664	oxnad1	https://zfin.org/ZDB-GENE-060503-199	oxidoreductase NAD-binding domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-060503-199]
ENSDARG00000016302	upf1	https://zfin.org/ZDB-GENE-040426-2836	upf1 regulator of nonsense transcripts homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-2836]
ENSDARG00000060680	si:ch73-127m5.1	https://zfin.org/ZDB-GENE-130531-25	si:ch73-127m5.1 [Source:ZFIN;Acc:ZDB-GENE-130531-25]
ENSDARG00000101642	si:ch211-155m12.1	https://zfin.org/ZDB-GENE-060526-51	si:ch211-155m12.1 [Source:ZFIN;Acc:ZDB-GENE-060526-51]
ENSDARG00000096623	si:ch211-1f22.13	https://zfin.org/ZDB-GENE-121214-68	si:ch211-1f22.13 [Source:ZFIN;Acc:ZDB-GENE-121214-68]
ENSDARG00000091901	si:dkey-25c4.1	https://zfin.org/ZDB-GENE-070912-479	si:dkey-25c4.1 [Source:ZFIN;Acc:ZDB-GENE-070912-479]
ENSDARG00000094280	usp21	https://zfin.org/ZDB-GENE-100210-3	ubiquitin specific peptidase 21 [Source:ZFIN;Acc:ZDB-GENE-100210-3]
ENSDARG00000095859	ptch1.1	https://zfin.org/ZDB-GENE-980526-196	patched 1 [Source:ZFIN;Acc:ZDB-GENE-980526-196]
ENSDARG00000006010	bmi1a	https://zfin.org/ZDB-GENE-030131-224	bmi1 polycomb ring finger oncogene 1a [Source:ZFIN;Acc:ZDB-GENE-030131-224]
ENSDARG00000105344	pkd1l2a	https://zfin.org/ZDB-GENE-050208-89	polycystic kidney disease 1 like 2a [Source:ZFIN;Acc:ZDB-GENE-050208-89]
ENSDARG00000062309	si:ch211-1f22.14	https://zfin.org/ZDB-GENE-121214-69	si:ch211-1f22.14 [Source:ZFIN;Acc:ZDB-GENE-121214-69]
ENSDARG00000060103	cpeb3	https://zfin.org/ZDB-GENE-090312-68	cytoplasmic polyadenylation element binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-090312-68]
ENSDARG00000040257	slc38a11	https://zfin.org/ZDB-GENE-050417-122	"solute carrier family 38, member 11 [Source:ZFIN;Acc:ZDB-GENE-050417-122]"
ENSDARG00000071357	map4k3b	https://zfin.org/ZDB-GENE-090428-1	mitogen-activated protein kinase kinase kinase kinase 3b [Source:ZFIN;Acc:ZDB-GENE-090428-1]
ENSDARG00000093874	si:dkey-196j8.2	https://zfin.org/ZDB-GENE-081107-58	si:dkey-196j8.2 [Source:ZFIN;Acc:ZDB-GENE-081107-58]
ENSDARG00000078547	si:ch211-264f5.2	https://zfin.org/ZDB-GENE-080303-2	si:ch211-264f5.2 [Source:ZFIN;Acc:ZDB-GENE-080303-2]
ENSDARG00000068279	si:ch211-240b21.2	https://zfin.org/ZDB-GENE-060526-125	si:ch211-240b21.2 [Source:ZFIN;Acc:ZDB-GENE-060526-125]
ENSDARG00000054906	ier5l	https://zfin.org/ZDB-GENE-030131-5134	immediate early response 5-like [Source:ZFIN;Acc:ZDB-GENE-030131-5134]
ENSDARG00000103469	si:ch211-222o17.1	https://zfin.org/ZDB-GENE-120215-220	si:ch211-222o17.1 [Source:ZFIN;Acc:ZDB-GENE-120215-220]
ENSDARG00000094461	si:dkey-106m10.6	https://zfin.org/ZDB-GENE-091112-3	si:dkey-106m10.6 [Source:ZFIN;Acc:ZDB-GENE-091112-3]
ENSDARG00000086301	si:dkey-27j5.6	https://zfin.org/ZDB-GENE-121214-157	si:dkey-27j5.6 [Source:ZFIN;Acc:ZDB-GENE-121214-157]
ENSDARG00000093145	si:dkey-246k9.3	https://zfin.org/ZDB-GENE-070424-230	si:dkey-246k9.3 [Source:ZFIN;Acc:ZDB-GENE-070424-230]
ENSDARG00000093699	si:ch73-27e22.4	https://zfin.org/ZDB-GENE-070705-232	si:ch73-27e22.4 [Source:ZFIN;Acc:ZDB-GENE-070705-232]
ENSDARG00000096606	si:ch73-94k4.4	https://zfin.org/ZDB-GENE-121214-228	si:ch73-94k4.4 [Source:ZFIN;Acc:ZDB-GENE-121214-228]
ENSDARG00000103154	si:ch73-144l3.1	https://zfin.org/ZDB-GENE-131119-96	si:ch73-144l3.1 [Source:ZFIN;Acc:ZDB-GENE-131119-96]
ENSDARG00000103360	si:ch211-67f24.11	https://zfin.org/ZDB-GENE-141216-404	si:ch211-67f24.11 [Source:ZFIN;Acc:ZDB-GENE-141216-404]
